Title,Date
"Attack on Titan","06/06/2021"
"Highlander: O Guerreiro Imortal","06/06/2021"
"O Código Da Vinci","06/06/2021"
"Bárbaros: Temporada 1: O lobo e a águia","29/05/2021"
"O Inocente: Minissérie: Episódio 1","29/05/2021"
"Corrida mortal","29/05/2021"
"A Primeira Noite de Crime","29/05/2021"
"Army of the Dead: Invasão em Las Vegas","21/05/2021"
"Paulo, Apóstolo de Cristo","15/05/2021"
"O Tigre Branco","17/04/2021"
"Hacker","17/04/2021"
"Fuja","11/04/2021"
"Qualquer Gato Vira-Lata 2","28/03/2021"
"História: Direto ao Assunto: Temporada 1: Petróleo do Oriente Médio","26/03/2021"
"História: Direto ao Assunto: Temporada 1: Plásticos","26/03/2021"
"História: Direto ao Assunto: Temporada 1: Ascensão da China","26/03/2021"
"História: Direto ao Assunto: Temporada 1: Corrida espacial","26/03/2021"
"História: Direto ao Assunto: Temporada 1: Fast Food","26/03/2021"
"Cães de Guerra","22/03/2021"
"Truque de Mestre: O Segundo Ato","14/03/2021"
"Abaixo de Zero","21/02/2021"
"Vikings: Temporada 6: O último ato","07/02/2021"
"Vikings: Temporada 6: A batalha","07/02/2021"
"Vikings: Temporada 6: É só magia","07/02/2021"
"Vikings: Temporada 6: Rumo à Inglaterra","06/02/2021"
"Vikings: Temporada 6: A gota d'água","06/02/2021"
"Vikings: Temporada 6: No mar","06/02/2021"
"O Tempo e O Vento","06/02/2021"
"Vikings: Temporada 6: Almas perdidas","27/01/2021"
"Vikings: Temporada 6: O sinal","24/01/2021"
"Vikings: Temporada 6: Tudo muda","24/01/2021"
"Vikings: Temporada 6: Rei dos reis","24/01/2021"
"A Terra Prometida: Temporada 1: Episódio 124","24/01/2021"
"A Terra Prometida: Temporada 1: Episódio 123","23/01/2021"
"A Terra Prometida: Temporada 1: Episódio 122","23/01/2021"
"A Terra Prometida: Temporada 1: Episódio 121","23/01/2021"
"A Terra Prometida: Temporada 1: Episódio 120","23/01/2021"
"A Terra Prometida: Temporada 1: Episódio 119","23/01/2021"
"Crazy Trips - Budapeste","19/01/2021"
"Os Últimos Cavaleiros","17/01/2021"
"A Terra Prometida: Temporada 1: Episódio 118","16/01/2021"
"A Terra Prometida: Temporada 1: Episódio 117","16/01/2021"
"A Terra Prometida: Temporada 1: Episódio 116","16/01/2021"
"A Terra Prometida: Temporada 1: Episódio 115","16/01/2021"
"A Terra Prometida: Temporada 1: Episódio 114","09/01/2021"
"A Terra Prometida: Temporada 1: Episódio 113","09/01/2021"
"A Terra Prometida: Temporada 1: Episódio 112","09/01/2021"
"A Terra Prometida: Temporada 1: Episódio 111","09/01/2021"
"Mad Max: Estrada da Fúria","03/01/2021"
"A Terra Prometida: Temporada 1: Episódio 110","02/01/2021"
"A Terra Prometida: Temporada 1: Episódio 109","02/01/2021"
"A Terra Prometida: Temporada 1: Episódio 108","02/01/2021"
"A Terra Prometida: Temporada 1: Episódio 107","02/01/2021"
"Vikings: Temporada 6: Os melhores planos","30/12/2020"
"Vikings: Temporada 6: Ressurreição","29/12/2020"
"Vikings: Temporada 6: Valhalla pode esperar","29/12/2020"
"Vikings: Temporada 6: A mulher do gelo","29/12/2020"
"Vikings: Temporada 6: A morte e a serpente","27/12/2020"
"Vikings: Temporada 6: A chave","27/12/2020"
"Vikings: Temporada 6: Todos os prisioneiros","27/12/2020"
"Vikings: Temporada 6: Fantasmas, deuses e cachorros fugitivos","27/12/2020"
"Vikings: Temporada 6: O Profeta","27/12/2020"
"Vikings: Temporada 6: Novos começos","26/12/2020"
"Vikings: Temporada 5: Ragnarök","26/12/2020"
"Vikings: Temporada 5: O que acontece na caverna","26/12/2020"
"Vikings: Temporada 5: Baldur","26/12/2020"
"Vikings: Temporada 5: Coisas terríveis","26/12/2020"
"Vikings: Temporada 5: Buda","25/12/2020"
"Vikings: Temporada 5: Inferno","25/12/2020"
"Vikings: Temporada 5: Momento perdido","25/12/2020"
"Vikings: Temporada 5: Novo Deus","25/12/2020"
"Vikings: Temporada 5: Todo assassinato é infame","24/12/2020"
"Vikings: Temporada 5: Revelação","23/12/2020"
"Vikings: Temporada 5: Visões","23/12/2020"
"Vikings: Temporada 5: Uma história simples","22/12/2020"
"Vikings: Temporada 5: A piada","22/12/2020"
"Vikings: Temporada 5: Lua cheia","22/12/2020"
"Vikings: Temporada 5: A mensagem","22/12/2020"
"Vikings: Temporada 5: O prisioneiro","21/12/2020"
"Vikings: Temporada 5: O plano","21/12/2020"
"Vikings: Temporada 5: Terra natal","21/12/2020"
"Vikings: Temporada 5: Aqueles que se foram","21/12/2020"
"Vikings: Temporada 5: O rei pescador","21/12/2020"
"Vikings: Temporada 4: O acerto de contas","20/12/2020"
"Vikings: Temporada 4: Na véspera","20/12/2020"
"Vikings: Temporada 4: Vingança","20/12/2020"
"Vikings: Temporada 4: O grande exército","20/12/2020"
"Vikings: Temporada 4: Travessias","19/12/2020"
"Vikings: Temporada 4: Todos os seus anjos","19/12/2020"
"Vikings: Temporada 4: Na hora incerta antes da manhã","19/12/2020"
"Vikings: Temporada 4: Duas viagens","19/12/2020"
"Vikings: Temporada 4: A visão","19/12/2020"
"Vikings: Temporada 4: O forasteiro","18/12/2020"
"Vikings: Temporada 4: O último navio","18/12/2020"
"Vikings: Temporada 4: A morte ao redor","18/12/2020"
"Vikings: Temporada 4: Mudança","18/12/2020"
"Vikings: Temporada 4: Ganhos e perdas","18/12/2020"
"Vikings: Temporada 4: O que poderia ter sido","17/12/2020"
"Vikings: Temporada 4: A promessa","17/12/2020"
"Vikings: Temporada 4: Yol","17/12/2020"
"Vikings: Temporada 4: Misericórdia","17/12/2020"
"Vikings: Temporada 4: Matem a rainha","17/12/2020"
"Vikings: Temporada 4: Uma boa traição","16/12/2020"
"Vikings: Temporada 3: Quem não volta mais","16/12/2020"
"Vikings: Temporada 3: Momento de decisão","16/12/2020"
"Vikings: Temporada 3: Arrombem os portões!","16/12/2020"
"Vikings: Temporada 3: Paris","16/12/2020"
"Vikings: Temporada 3: Renascimento","15/12/2020"
"Vikings: Temporada 3: O usurpador","15/12/2020"
"Vikings: Temporada 3: Cicatrizes","15/12/2020"
"Vikings: Temporada 3: O destino de um guerreiro","15/12/2020"
"Vikings: Temporada 3: O andarilho","15/12/2020"
"Vikings: Temporada 3: Mercenários","15/12/2020"
"Vikings: Temporada 2: Prece do Senhor","14/12/2020"
"Vikings: Temporada 2: A escolha","14/12/2020"
"Vikings: Temporada 2: Assim estava escrito","14/12/2020"
"Vikings: Temporada 2: Inveja, cobiça e vingança","13/12/2020"
"Vikings: Temporada 2: Perdoar, jamais","13/12/2020"
